"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"L3","PC1","I/O","ETH_MDC","","DEBUG_TRACED0","SAI4_D1","SAI1_D1","DFSDM1_DATIN0","DFSDM1_CKIN4","I2S2_SDO/SPI2_MOSI","SAI1_SD_A","","SAI4_SD_A","SDMMC2_CK","OCTOSPIM_P1_IO4","ETH_MDC","MDIOS_MDC","","LTDC_G5","EVENTOUT"
"L4","VREF-","Power","","","","","","","","","","","","","","","","","",""
"L12","VDD","Power","","","","","","","","","","","","","","","","","",""
"L13","PD10","I/O","","","","","","DFSDM1_CKOUT","","","","USART3_CK","","","","","FMC_D15/FMC_DA15","","LTDC_B3","EVENTOUT"
"L14","PD8","I/O","","","","","","DFSDM1_CKIN3","","","","USART3_TX","","SPDIFRX1_IN1","","","FMC_D13/FMC_DA13","","","EVENTOUT"
"L15","PB13","I/O","USB_OTG_HS_ULPI_D6","","","TIM1_CH1N","","LPTIM2_OUT","OCTOSPIM_P1_IO2","I2S2_CK/SPI2_SCK","DFSDM1_CKIN1","USART3_CTS/USART3_NSS","","FDCAN2_TX","USB_OTG_HS_ULPI_D6","ETH_TXD1","SDMMC1_D0","DCMI_D2/PSSI_D2","UART5_TX","EVENTOUT"
"M1","PC2","I/O","USB_OTG_HS_ULPI_DIR","","","","","DFSDM1_CKIN1","OCTOSPIM_P1_IO5","I2S2_SDI/SPI2_MISO","DFSDM1_CKOUT","","","OCTOSPIM_P1_IO2","","","FMC_SDNE0","","","EVENTOUT"
"M2","PC3","I/O","USB_OTG_HS_ULPI_NXT","","","","","DFSDM1_DATIN1","OCTOSPIM_P1_IO6","I2S2_SDO/SPI2_MOSI","","","","OCTOSPIM_P1_IO0","","","FMC_SDCKE0","","","EVENTOUT"
"M3","VREF+","MonoIO","","","","","","","","","","","","","","","","","",""
"M4","VDDA","Power","","","","","","","","","","","","","","","","","",""
"M5","VDD","Power","","","","","","","","","","","","","","","","","",""
"M6","VSS","Power","","","","","","","","","","","","","","","","","",""
"M7","PC5","I/O","ETH_RXD1","","","SAI4_D3","SAI1_D3","DFSDM1_DATIN2","PSSI_D15","","","","","SPDIFRX1_IN3","OCTOSPIM_P1_DQS","ETH_RXD1","FMC_SDCKE0","COMP1_OUT","LTDC_DE","EVENTOUT"
"M8","PB1","I/O","USB_OTG_HS_ULPI_D2","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","OCTOSPIM_P1_IO0","","DFSDM1_DATIN1","","","LTDC_R6","USB_OTG_HS_ULPI_D2","ETH_RXD3","","","LTDC_G0","EVENTOUT"
"M9","VDD","Power","","","","","","","","","","","","","","","","","",""
"M10","VSS","Power","","","","","","","","","","","","","","","","","",""
"M11","PH7","I/O","","","","","","","I2C3_SCL","SPI5_MISO","","","","","","ETH_RXD3","FMC_SDCKE1","DCMI_D9/PSSI_D9","","EVENTOUT"
"M12","PE14","I/O","","","","TIM1_CH4","","","","SPI4_MOSI","","","","","SAI4_MCLK_B","","FMC_D11/FMC_DA11","","LTDC_CLK","EVENTOUT"
"M13","PH11","I/O","","","","","TIM5_CH2","","I2C4_SCL","","","","","","","","FMC_D19","DCMI_D2/PSSI_D2","LTDC_R5","EVENTOUT"
"M14","PH9","I/O","","","","","TIM12_CH2","","I2C3_SMBA","","","","","","","","FMC_D17","DCMI_D0/PSSI_D0","LTDC_R3","EVENTOUT"
"M15","PB12","I/O","USB_OTG_HS_ULPI_D5","","","TIM1_BKIN","","OCTOSPIM_P1_NCLK","I2C2_SMBA","I2S2_WS/SPI2_NSS","DFSDM1_DATIN1","USART3_CK","","FDCAN2_RX","USB_OTG_HS_ULPI_D5","ETH_TXD0","OCTOSPIM_P1_IO0","TIM1_BKIN_COMP1/TIM1_BKIN_COMP2","UART5_RX","EVENTOUT"
"N1","PC2_C","I/O","","","","","","DFSDM1_CKIN1","OCTOSPIM_P1_IO5","I2S2_SDI/SPI2_MISO","DFSDM1_CKOUT","","","OCTOSPIM_P1_IO2","USB_OTG_HS_ULPI_DIR","ETH_TXD2","FMC_SDNE0","","",""
