"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"C6","PB5","I/O","USB_OTG_HS_ULPI_D7","","","TIM17_BKIN","TIM3_CH2","LTDC_B5","I2C1_SMBA","I2S1_SDO/SPI1_MOSI","I2C4_SMBA","I2S3_SDO/SPI3_MOSI","I2S6_SDO/SPI6_MOSI","FDCAN2_RX","USB_OTG_HS_ULPI_D7","ETH_PPS_OUT","FMC_SDCKE1","DCMI_D10/PSSI_D10","UART5_RX","EVENTOUT"
"C7","PG14","I/O","ETH_TXD1","","DEBUG_TRACED1","LPTIM1_ETR","","","USART10_DE/USART10_RTS","I2S6_SDO/SPI6_MOSI","","USART6_TX","","OCTOSPIM_P1_IO7","SDMMC2_D7","ETH_TXD1","FMC_A25","TIM23_CH3","LTDC_B0","EVENTOUT"
"C8","PG10","I/O","FDCAN3_RX","","","","FDCAN3_RX","OCTOSPIM_P2_IO6","","I2S1_WS/SPI1_NSS","","","","LTDC_G3","SAI4_SD_B","SDMMC2_D1","FMC_NE3","DCMI_D2/PSSI_D2","LTDC_B2","EVENTOUT"
"C9","PD4","I/O","","","","","","","","","","USART2_DE/USART2_RTS","","","OCTOSPIM_P1_IO4","","FMC_NOE","","","EVENTOUT"
"C10","PD0","I/O","","","","","","DFSDM1_CKIN6","","","","","UART4_RX","FDCAN1_RX","","UART9_CTS","FMC_D2/FMC_DA2","","LTDC_B1","EVENTOUT"
"C11","PC11","I/O","SDMMC1_D3","","","","","DFSDM1_DATIN5","I2C5_SCL","","I2S3_SDI/SPI3_MISO","USART3_RX","UART4_RX","OCTOSPIM_P1_NCS","","","SDMMC1_D3","DCMI_D4/PSSI_D4","LTDC_B4","EVENTOUT"
"C12","PC10","I/O","SDMMC1_D2","","","","","DFSDM1_CKIN5","I2C5_SDA","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","OCTOSPIM_P1_IO1","LTDC_B1","SWPMI1_RX","SDMMC1_D2","DCMI_D8/PSSI_D8","LTDC_R2","EVENTOUT"
"C13","PH13","I/O","","","","","","TIM8_CH1N","","","","","UART4_TX","FDCAN1_TX","","","FMC_D21","","LTDC_G2","EVENTOUT"
"C14","PA10","I/O","","","","TIM1_CH3","","LPUART1_RX","","","","USART1_RX","","","USB_OTG_HS_ID","MDIOS_MDIO","LTDC_B4","DCMI_D1/PSSI_D1","LTDC_B1","EVENTOUT"
"C15","PA11","I/O","","","","TIM1_CH4","","LPUART1_CTS","","I2S2_WS/SPI2_NSS","UART4_RX","USART1_CTS/USART1_NSS","","FDCAN1_RX","","","","","LTDC_R4","EVENTOUT"
"D1","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D2","PC14-OSC32_IN","I/O","RCC_OSC32_IN","","","","","","","","","","","","","","","","","EVENTOUT"
"D3","PE5","I/O","","","DEBUG_TRACED2","","SAI1_CK2","DFSDM1_CKIN3","TIM15_CH1","SPI4_MISO","SAI1_SCK_A","","SAI4_SCK_A","","SAI4_CK2","","FMC_A21","DCMI_D6/PSSI_D6","LTDC_G0","EVENTOUT"
"D4","PDR_ON","Power","","","","","","","","","","","","","","","","","",""
"D5","VDD","Power","","","","","","","","","","","","","","","","","",""
"D6","VSS","Power","","","","","","","","","","","","","","","","","",""
"D7","PG15","I/O","","","","","","","","","","USART6_CTS/USART6_NSS","","OCTOSPIM_P2_DQS","","USART10_CK","FMC_SDNCAS","DCMI_D13/PSSI_D13","","EVENTOUT"
"D8","PG12","I/O","","","","LPTIM1_IN1","","OCTOSPIM_P2_NCS","USART10_TX","I2S6_SDI/SPI6_MISO","","USART6_DE/USART6_RTS","SPDIFRX1_IN1","LTDC_B4","SDMMC2_D3","ETH_TXD1","FMC_NE4","TIM23_CH1","LTDC_B1","EVENTOUT"
"D9","PD6","I/O","","","","SAI4_D1","SAI1_D1","DFSDM1_CKIN4","DFSDM1_DATIN1","I2S3_SDO/SPI3_MOSI","SAI1_SD_A","USART2_RX","SAI4_SD_A","","OCTOSPIM_P1_IO6","SDMMC2_CK","FMC_NWAIT","DCMI_D10/PSSI_D10","LTDC_B2","EVENTOUT"
"D10","VSS","Power","","","","","","","","","","","","","","","","","",""
"D11","VDD","Power","","","","","","","","","","","","","","","","","",""
"D12","PH15","I/O","","","","","","TIM8_CH3N","","","","","","","","","FMC_D23","DCMI_D11/PSSI_D11","LTDC_G4","EVENTOUT"
"D13","PA9","I/O","","","","TIM1_CH2","","LPUART1_TX","I2C3_SMBA","I2S2_CK/SPI2_SCK","I2C5_SMBA","USART1_TX","","","","ETH_TX_ER","","DCMI_D0/PSSI_D0","LTDC_R5","EVENTOUT"
"D14","PC8","I/O","SDMMC1_D0","","DEBUG_TRACED1","","TIM3_CH3","TIM8_CH3","","","","USART6_CK","UART5_DE/UART5_RTS","FMC_NCE/FMC_NE2","FMC_INT","SWPMI1_RX","SDMMC1_D0","DCMI_D2/PSSI_D2","","EVENTOUT"
"D15","PC7","I/O","","","DEBUG_TRGIO","","TIM3_CH2","TIM8_CH2","DFSDM1_DATIN3","","I2S3_MCK","USART6_RX","SDMMC1_D123DIR","FMC_NE1","SDMMC2_D7","SWPMI1_TX","SDMMC1_D7","DCMI_D1/PSSI_D1","LTDC_G6","EVENTOUT"
"E1","VSS","Power","","","","","","","","","","","","","","","","","",""
"E2","VBAT","Power","","","","","","","","","","","","","","","","","",""
"E3","PE6","I/O","","","DEBUG_TRACED3","TIM1_BKIN2","SAI1_D1","","TIM15_CH2","SPI4_MOSI","SAI1_SD_A","","SAI4_SD_A","SAI4_D1","SAI4_MCLK_B","TIM1_BKIN2_COMP1/TIM1_BKIN2_COMP2","FMC_A22","DCMI_D7/PSSI_D7","LTDC_G1","EVENTOUT"
"E4","VDD","Power","","","","","","","","","","","","","","","","","",""
"E12","VDD","Power","","","","","","","","","","","","","","","","","",""
"E13","PC9","I/O","SDMMC1_D1","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","I2C5_SDA","","UART5_CTS","OCTOSPIM_P1_IO0","LTDC_G3","SWPMI1_SUSPEND","SDMMC1_D1","DCMI_D3/PSSI_D3","LTDC_B2","EVENTOUT"
"E14","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","DFSDM1_CKIN3","I2S2_MCK","","USART6_TX","SDMMC1_D0DIR","FMC_NWAIT","SDMMC2_D6","","SDMMC1_D6","DCMI_D0/PSSI_D0","LTDC_HSYNC","EVENTOUT"
"E15","VDD50USB","Power","","","","","","","","","","","","","","","","","",""
"F1","VLXSMPS","Power","","","","","","","","","","","","","","","","","",""
"F2","VSSSMPS","Power","","","","","","","","","","","","","","","","","",""
"F3","PF1","I/O","I2C2_SCL","","","","","","I2C2_SCL","","I2C5_SCL","","","OCTOSPIM_P2_IO1","","","FMC_A1","TIM23_CH2","","EVENTOUT"
"F4","PF0","I/O","I2C2_SDA","","","","","","I2C2_SDA","","I2C5_SDA","","","OCTOSPIM_P2_IO0","","","FMC_A0","TIM23_CH1","","EVENTOUT"
"F6","VSS","Power","","","","","","","","","","","","","","","","","",""
"F7","VSS","Power","","","","","","","","","","","","","","","","","",""
"F8","VSS","Power","","","","","","","","","","","","","","","","","",""
"F9","VSS","Power","","","","","","","","","","","","","","","","","",""
"F10","VSS","Power","","","","","","","","","","","","","","","","","",""
"F12","VSS","Power","","","","","","","","","","","","","","","","","",""
"F13","VDD33USB","Power","","","","","","","","","","","","","","","","","",""
"F14","PG6","I/O","","","","TIM17_BKIN","","","","","","","","","OCTOSPIM_P1_NCS","","FMC_NE3","DCMI_D12/PSSI_D12","LTDC_R7","EVENTOUT"
"F15","PG5","I/O","","","","TIM1_ETR","","","","","","","","","","","FMC_A15/FMC_BA1","","","EVENTOUT"
"G1","VDDSMPS","Power","","","","","","","","","","","","","","","","","",""
"G2","VFBSMPS","Power","","","","","","","","","","","","","","","","","",""
"G3","PF2","I/O","","","","","","","I2C2_SMBA","","I2C5_SMBA","","","OCTOSPIM_P2_IO2","","","FMC_A2","TIM23_CH3","","EVENTOUT"
"G4","VDD","Power","","","","","","","","","","","","","","","","","",""
"G6","VSS","Power","","","","","","","","","","","","","","","","","",""
"G7","VSS","Power","","","","","","","","","","","","","","","","","",""
"G8","VSS","Power","","","","","","","","","","","","","","","","","",""
"G9","VSS","Power","","","","","","","","","","","","","","","","","",""
"G10","VSS","Power","","","","","","","","","","","","","","","","","",""
